name,type,date,value
20世纪美国小说,外院,2012-2013-1,7
GIS软件工程,地生院,2012-2013-1,1
IP网络技术,通院,2012-2013-1,1
IP网络技术基础（双语）,通院,2012-2013-1,29
Java移动应用开发,软院,2012-2013-1,1
Linux编程,计院,2012-2013-1,3
TCP/IP网络设计与实现（双语）,计院,2012-2013-1,6
WEB服务和分布式应用程序开发,软院,2012-2013-1,4
Windows高级软件开发,计院,2012-2013-1,3
半导体材料与器件（双语）,材料院,2012-2013-1,1
半导体集成电路工艺,电院,2012-2013-1,16
半导体物理,电院,2012-2013-1,6
材料物理（双语）,材料院,2012-2013-1,1
财务管理A,经管院,2012-2013-1,10
财务会计B,经管院,2012-2013-1,3
操作系统,经管院,2012-2013-1,1
操作系统,物联网院,2012-2013-1,3
操作系统A,计院,2012-2013-1,40
操作系统结构分析,计院,2012-2013-1,13
测量学,地生院,2012-2013-1,3
冲突与谈判,人文院,2012-2013-1,3
抽样调查（双语）,理学院,2012-2013-1,4
初等数论,计院,2012-2013-1,3
传感器技术,自动化院,2012-2013-1,22
大学化学,材料院,2012-2013-1,6
大学物理,理学院,2012-2013-1,582
大学英语Ⅰ,外院,2012-2013-1,170
大学英语Ⅱ,外院,2012-2013-1,9
大学英语Ⅲ,外院,2012-2013-1,164
大学英语Ⅳ,外院,2012-2013-1,123
大学语文,人文院,2012-2013-1,2
代码优化与性能调优,软院,2012-2013-1,9
代数与几何,理学院,2012-2013-1,17
单片机原理及系统设计,计院,2012-2013-1,22
地形图判读与定向越野,地生院,2012-2013-1,12
第二外语（日语）,外院,2012-2013-1,9
第三代移动通信系统,通院,2012-2013-1,1
电磁场理论,电院,2012-2013-1,13
电磁场数学方法,电院,2012-2013-1,15
电磁场与传输理论,电院,2012-2013-1,81
电磁场与传输理论A,电院,2012-2013-1,109
电磁兼容原理与技术,电院,2012-2013-1,6
电磁学,理学院,2012-2013-1,9
电动力学,光院,2012-2013-1,2
电动力学,理学院,2012-2013-1,5
电工电子技术基础,电院,2012-2013-1,50
电工电子实验（一）,电工电子实验教学中心,2012-2013-1,26
电机学,自动化院,2012-2013-1,73
电机与拖动基础,自动化院,2012-2013-1,4
电力电子技术,自动化院,2012-2013-1,44
电力电子装置及控制,自动化院,2012-2013-1,6
电气测量技术,自动化院,2012-2013-1,15
电视传输与组网技术,通院,2012-2013-1,1
电视原理,通院,2012-2013-1,3
电信以太网技术,通院,2012-2013-1,8
电子电路基础,理学院,2012-2013-1,3
电子信息工程专业导论,通院,2012-2013-1,5
动画造型设计,传媒院,2012-2013-1,1
多媒体技术与通信,通院,2012-2013-1,15
二维动画应用,传媒院,2012-2013-1,3
分析化学,材料院,2012-2013-1,12
概率论,理学院,2012-2013-1,8
概率论与数理统计,理学院,2012-2013-1,172
概率统计和随机过程,理学院,2012-2013-1,244
钢琴艺术赏析,传媒院,2012-2013-1,2
高等数学A,理学院,2012-2013-1,588
高等数学AⅠ,理学院,2012-2013-1,75
高等数学B,理学院,2012-2013-1,50
高等数学BⅠ,理学院,2012-2013-1,40
高等数学C,理学院,2012-2013-1,8
高分子材料制备与加工,材料院,2012-2013-1,1
高分子化学（双语）,材料院,2012-2013-1,1
高级日语Ⅰ,外院,2012-2013-1,1
高级日语Ⅲ,外院,2012-2013-1,2
高级写作Ⅱ,外院,2012-2013-1,2
高级语言程序设计,计院,2012-2013-1,286
固体电子导论,光院,2012-2013-1,47
管理经济学,人文院,2012-2013-1,1
管理信息系统,经管院,2012-2013-1,8
光电成像原理,光院,2012-2013-1,12
光电传感技术,光院,2012-2013-1,2
光电综合实验,光院,2012-2013-1,2
光纤传输技术,光院,2012-2013-1,70
光纤网络技术,光院,2012-2013-1,39
光学,理学院,2012-2013-1,3
国际贸易（双语）,经管院,2012-2013-1,6
宏观经济学,经管院,2012-2013-1,17
汇编语言程序设计,计院,2012-2013-1,36
货币银行学,经管院,2012-2013-1,4
机器人学,自动化院,2012-2013-1,1
基础日语Ⅰ,外院,2012-2013-1,10
基础日语Ⅲ,外院,2012-2013-1,1
